addis.ababa,administration,akaki.kaliti,nefas.silk-lafto,kolfe.keraniyo,gulele,lideta,kirkos,arada,addis.ketema,yeka,bole,,,,,,,,,,,,
affar,region,1,2,3,4,5,,,,,,,,,,,,,,,,,
amhara,region,north.gondar,south.gondar,north.wello,south.wello,north.shewa,east.gojjam,west.gojjam,waghemira,awi,oromiya,bahir.dar,argoba,,,,,,,,,,
benishangul-gumuz,region,metekel,asossa,kemashi,pawe,mao.komo,,,,,,,,,,,,,,,,,
dire.dawa,administration,,,,,,,,,,,,,,,,,,,,,,
gambela,region,agnewak,nuwer,mezhenger,etang,,,,,,,,,,,,,,,,,,
harari,region,,,,,,,,,,,,,,,,,,,,,,
oromiya,region,west.wellega,east.wellega,ilu.aba.bora,jimma,west.shewa,north.shewa,east.shewa,arsi,west.hararge,east.hararge,bale,borena,south.west.shewa,guji,adama,jima,west.arsi,kelem.welega,horo.gudru.welega,burayu,,
snnpr,region,gurage,hadiya,kembata.timbaro,sidama,gedeo,wolyita,south.omo,sheka,keffa,gamo.gofa,bench.maji,yem,amaro,burji,konso,derashe,dawuro,basketo,konta,silti,alaba,hawassa
somali,region,shinile,jijiga,degehabur,warder,korahe,fik,gode,afder,liben,,,,,,,,,,,,,
tigray,region,north.western.tigray,central.tigray,eastern.tigray,southern.tigray,western.tigray,mekele,,,,,,,,,,,,,,,,
